Squarefree monomial ideals in 5 variables up to relabeling
Total representatives: 210

1: ()   (0)
2: ((),)   (1)
3: ((1,),)   (x1)
4: ((1, 2),)   (x1*x2)
5: ((1, 2, 3),)   (x1*x2*x3)
6: ((1, 2, 3, 4),)   (x1*x2*x3*x4)
7: ((1, 2, 3, 4, 5),)   (x1*x2*x3*x4*x5)
8: ((1,), (2,))   (x1, x2)
9: ((1,), (2, 3))   (x1, x2*x3)
98: ((1, 2, 3), (1, 2, 4, 5), (1, 3, 4, 5), (2, 3, 4, 5))   (x1*x2*x3, x1*x2*x4*x5, x1*x3*x4*x5, x2*x3*x4*x5)
99: ((1, 2, 3, 4), (1, 2, 3, 5), (1, 2, 4, 5), (1, 3, 4, 5))   (x1*x2*x3*x4, x1*x2*x3*x5, x1*x2*x4*x5, x1*x3*x4*x5)
100: ((1,), (2,), (3,), (4,), (5,))   (x1, x2, x3, x4, x5)
101: ((1,), (2,), (3, 4), (3, 5), (4, 5))   (x1, x2, x3*x4, x3*x5, x4*x5)
102: ((1,), (2, 3), (2, 4), (3, 4), (2, 5))   (x1, x2*x3, x2*x4, x3*x4, x2*x5)
103: ((1,), (2, 3), (2, 4), (2, 5), (3, 4, 5))   (x1, x2*x3, x2*x4, x2*x5, x3*x4*x5)
104: ((1,), (2, 3), (2, 4), (3, 5), (4, 5))   (x1, x2*x3, x2*x4, x3*x5, x4*x5)
105: ((1,), (2, 3, 4), (2, 3, 5), (2, 4, 5), (3, 4, 5))   (x1, x2*x3*x4, x2*x3*x5, x2*x4*x5, x3*x4*x5)
106: ((1, 2), (1, 3), (2, 3), (1, 4), (2, 4))   (x1*x2, x1*x3, x2*x3, x1*x4, x2*x4)
107: ((1, 2), (1, 3), (2, 3), (1, 4), (1, 5))   (x1*x2, x1*x3, x2*x3, x1*x4, x1*x5)
108: ((1, 2), (1, 3), (2, 3), (1, 4), (2, 5))   (x1*x2, x1*x3, x2*x3, x1*x4, x2*x5)
109: ((1, 2), (1, 3), (2, 3), (1, 4), (4, 5))   (x1*x2, x1*x3, x2*x3, x1*x4, x4*x5)
110: ((1, 2), (1, 3), (2, 3), (1, 4), (2, 4, 5))   (x1*x2, x1*x3, x2*x3, x1*x4, x2*x4*x5)
