original_index,table_type,ideal,betti_dictionary,total_betti_vector,pd,reg
132,92,"(x1*x2, x1*x3*x4, x2*x3*x4, x1*x3*x5, x1*x4*x5)","{(0, 0): 1, (1, 2): 1, (1, 3): 4, (2, 4): 6, (3, 5): 2}","(1, 5, 6, 2)",3,2
133,92,"(x1*x2, x1*x3*x4, x2*x3*x4, x1*x3*x5, x2*x4*x5)","{(0, 0): 1, (1, 2): 1, (1, 3): 4, (2, 4): 6, (3, 5): 2}","(1, 5, 6, 2)",3,2
134,92,"(x1*x2, x1*x3*x4, x2*x3*x4, x1*x3*x5, x3*x4*x5)","{(0, 0): 1, (1, 2): 1, (1, 3): 4, (2, 4): 6, (3, 5): 2}","(1, 5, 6, 2)",3,2
135,92,"(x1*x2, x1*x3*x4, x1*x3*x5, x1*x4*x5, x3*x4*x5)","{(0, 0): 1, (1, 2): 1, (1, 3): 4, (2, 4): 6, (3, 5): 2}","(1, 5, 6, 2)",3,2
136,93,"(x1*x2, x1*x3*x4, x1*x3*x5, x1*x4*x5, x2*x3*x4*x5)","{(0, 0): 1, (1, 2): 1, (1, 3): 3, (1, 4): 1, (2, 4): 5, (2, 5): 1, (3, 5): 2}","(1, 5, 6, 2)",3,3
137,92,"(x1*x2, x1*x3*x4, x1*x3*x5, x2*x4*x5, x3*x4*x5)","{(0, 0): 1, (1, 2): 1, (1, 3): 4, (2, 4): 6, (3, 5): 2}","(1, 5, 6, 2)",3,2
138,94,"(x1*x2*x3, x1*x2*x4, x1*x3*x4, x2*x3*x4, x1*x2*x5)","{(0, 0): 1, (1, 3): 5, (2, 4): 5, (3, 5): 1}","(1, 5, 5, 1)",3,2
139,95,"(x1*x2*x3, x1*x2*x4, x1*x3*x4, x1*x2*x5, x1*x3*x5)","{(0, 0): 1, (1, 3): 5, (2, 4): 6, (3, 5): 2}","(1, 5, 6, 2)",3,2
140,94,"(x1*x2*x3, x1*x2*x4, x1*x3*x4, x1*x2*x5, x2*x3*x5)","{(0, 0): 1, (1, 3): 5, (2, 4): 5, (3, 5): 1}","(1, 5, 5, 1)",3,2
141,94,"(x1*x2*x3, x1*x2*x4, x1*x3*x4, x1*x2*x5, x3*x4*x5)","{(0, 0): 1, (1, 3): 5, (2, 4): 5, (3, 5): 1}","(1, 5, 5, 1)",3,2
142,96,"(x1*x2*x3, x1*x2*x4, x1*x3*x4, x1*x2*x5, x2*x3*x4*x5)","{(0, 0): 1, (1, 3): 4, (1, 4): 1, (2, 4): 4, (2, 5): 1, (3, 5): 1}","(1, 5, 5, 1)",3,3
143,94,"(x1*x2*x3, x1*x2*x4, x1*x3*x4, x2*x3*x5, x2*x4*x5)","{(0, 0): 1, (1, 3): 5, (2, 4): 5, (3, 5): 1}","(1, 5, 5, 1)",3,2
144,97,"(x1*x2*x3, x1*x2*x4, x1*x2*x5, x1*x3*x4*x5, x2*x3*x4*x5)","{(0, 0): 1, (1, 3): 3, (1, 4): 2, (2, 4): 3, (2, 5): 2, (3, 5): 1}","(1, 5, 5, 1)",3,3
145,96,"(x1*x2*x3, x1*x2*x4, x1*x3*x5, x1*x4*x5, x2*x3*x4*x5)","{(0, 0): 1, (1, 3): 4, (1, 4): 1, (2, 4): 4, (2, 5): 1, (3, 5): 1}","(1, 5, 5, 1)",3,3
146,94,"(x1*x2*x3, x1*x2*x4, x1*x3*x5, x2*x4*x5, x3*x4*x5)","{(0, 0): 1, (1, 3): 5, (2, 4): 5, (3, 5): 1}","(1, 5, 5, 1)",3,2
147,98,"(x1*x2*x3*x4, x1*x2*x3*x5, x1*x2*x4*x5, x1*x3*x4*x5, x2*x3*x4*x5)","{(0, 0): 1, (1, 4): 5, (2, 5): 4}","(1, 5, 4)",2,3
148,99,"(x1, x2*x3, x2*x4, x3*x4, x2*x5, x3*x5)","{(0, 0): 1, (1, 1): 1, (1, 2): 5, (2, 3): 11, (3, 4): 8, (4, 5): 2}","(1, 6, 11, 8, 2)",4,1
149,100,"(x1*x2, x1*x3, x2*x3, x1*x4, x2*x4, x3*x4)","{(0, 0): 1, (1, 2): 6, (2, 3): 8, (3, 4): 3}","(1, 6, 8, 3)",3,1
150,101,"(x1*x2, x1*x3, x2*x3, x1*x4, x2*x4, x1*x5)","{(0, 0): 1, (1, 2): 6, (2, 3): 9, (3, 4): 5, (4, 5): 1}","(1, 6, 9, 5, 1)",4,1
